plan_id,name,currency,price,description,is_taxable
186,Annual 30,CAD,105.0,Unlimited 30-min trips on classic bikes,1
208,Annual 45,CAD,120.0,Unlimited 45-min trips on classic bikes,1
209,Corporate 30,CAD,84.0,Corporate 30,1
210,Corporate 45,CAD,96.0,Corporate 45,1
211,OPTION 2 TEST,CAD,0.0,,1
212,CMP-MROC30,CAD,0.0,,1
213,CMP-MROC45,CAD,0.0,CMP-MROC45,1
214,CMP-PPCMP45,CAD,0.0,,1
215,CMP-PPCMP30,CAD,0.0,,1
216,CMP CoT30,CAD,63.0,CMP CoT30,1
217,CMP CoT45,CAD,72.0,,1
218,CMP-Smart30,CAD,78.75,,1
219,CMP-Smart45,CAD,90.0,,1
220,CMP AnimalClinic30,CAD,52.5,CMP AnimalClinic30,1
221,CMP AnimalClinic45,CAD,63.0,CMP AnimalClinic45,1
222,CMP-ParkPeople30,CAD,0.0,CMP-ParkPeople30,1
223,CMP-ParkPeople45,CAD,0.0,CMP-ParkPeople45,1
224,VIP Trial,CAD,0.0,VIP Trial,1
225,CMP-TP30,CAD,63.0,CMP-TP30,1
226,CMP-TP45,CAD,72.0,CMP-TP45,1
227,CMP-MUR30,CAD,31.5,CMP-MUR30,1
228,CMP-MUR45,CAD,36.0,CMP-MUR45,1
229,CMP-GP30,CAD,49.5,CMP-GP30,1
230,CMP-GP45,CAD,57.5,CMP-GP45,1
231,CMP-LEA30,CAD,63.0,CMP-LEA30,1
232,CMP-LEA45,CAD,72.0,CMP-LEA45,1
244,CMP-SmartDen30,CAD,21.0,CMP-SmartDen30,1
245,CMP-SmartDen45,CAD,24.0,CMP-SmartDen45,1
248,CMP-DewartGleason45,CAD,63.0,,1
249,CMP-DewartGleason30,CAD,52.5,CMP-DewartGleason30,1
251,Classic Bike DayPass,CAD,15.0,90 min rides on classic bikes,1
252,Pay-As-You-Go ($1 Unlock Fee),CAD,0.0,+Classic bike $0.12/min; Ebike $0.20/min  ,1
254,CMP-CollabArc30,CAD,42.0,CMP-CollabArc30,1
255,CMP-CollabArc45,CAD,48.0,CMP-CollabArc45,1
256,CMP-GPP45 (test),CAD,0.0,,1
257,CMP-GreenP45,CAD,0.0,CMP-GreenP45,1
258,Annual 30 - ODSP,CAD,105.0,Unlimited 30-min trips with any bike,1
259,Annual 45 - ODSP,CAD,120.0,Unlimited 45-min trips with any bike,1
260,CMP-GCC 30,CAD,63.0,CMP-GCC 30,1
261,CMP-GCC 45,CAD,72.0,CMP-GCC 45,1
262,CMP-BeyondTech30,CAD,31.5,CMP-BeyondTech30,1
263,CMP-BeyondTech45,CAD,36.0,CMP-BeyondTech45,1
264,Annual 30 3 Install,CAD,105.0,3 monthly installments of $35 + tax,1
265,Annual 45 3 Install,CAD,120.0,3 monthly installments of $40 + tax,1
269,CMP-WaterFront30,CAD,52.5,CMP-WaterFront30,1
270,CMP-NGE30,CAD,52.5,CMP-NGE30,1
271,CMP-NGE45,CAD,60.0,CMP-NGE45,1
274,CMP-CollectifH30,CAD,52.5,CMP-CollectifH30,1
275,CMP-CollectifH45,CAD,60.0,CMP-CollectifH45,1
276,CMP-BleuComm30,CAD,52.5,CMP-BleuComm30,1
277,CMP-BleuComm45,CAD,60.0,CMP-BleuComm45,1
278,CMP-GlassR30,CAD,52.5,CMP-GlassR30,1
279,CMP-GlassR45,CAD,60.0,CMP-GlassR45,1
281,CMP-Institut30,CAD,52.5,CMP-Institut30,1
282,CMP-Institut45,CAD,60.0,CMP-Institut45,1
283,CMP-Tulip30,CAD,52.5,CMP-Tulip30,1
284,CMP-Tulip45,CAD,60.0,CMP-Tulip45,1
285,CMP-BRND30,CAD,52.5,CMP-BRND30,1
286,CMP-BRND45,CAD,60.0,CMP-BRND45,1
287,CMP-GSM30,CAD,52.5,CMP-GSM30,1
288,CMP-GSM45,CAD,60.0,CMP-GSM45,1
289,CMP-Gardn30,CAD,52.5,CMP-Gardn30,1
290,CMP-Gardn45,CAD,60.0,CMP-Gardn45,1
291,CMP-Burdock30,CAD,52.5,CMP-Burdock30,1
292,CMP-Burdock45,CAD,60.0,CMP-Burdock45,1
296,CMP-CIMA30,CAD,70.35,CMP-CIMA30,1
297,CMP-CIMA45,CAD,80.4,CMP-CIMA45,1
